File Name,HR Size (W x H),LR Size (W x H),Degrade Factor (x),SR_0.5M,SR_0.5M_res,SR_0.5M_n,REFINED,REFINED_res,REFINED_n,res_0.5M,res_0.5M_res,res_0.5M_n
4xSatSR_00133,3000x3000,750x750,4,SR05M_4xSatSR_00133.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00133.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00134,3000x3000,750x750,4,SR05M_4xSatSR_00134.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00134.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00135,3000x3000,750x750,4,SR05M_4xSatSR_00135.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00135.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00136,3000x3000,750x750,4,SR05M_4xSatSR_00136.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00136.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00137,3000x3000,750x750,4,SR05M_4xSatSR_00137.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00137.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00138,3000x3000,750x750,4,SR05M_4xSatSR_00138.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00138.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00139,3000x3000,750x750,4,SR05M_4xSatSR_00139.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00139.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00140,3000x3000,750x750,4,SR05M_4xSatSR_00140.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00140.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00141,3000x3000,750x750,4,SR05M_4xSatSR_00141.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00141.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00142,3000x3000,750x750,4,SR05M_4xSatSR_00142.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00142.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00143,3000x3000,750x750,4,SR05M_4xSatSR_00143.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00143.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00144,3000x3000,750x750,4,SR05M_4xSatSR_00144.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00144.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00145,3000x3000,750x750,4,SR05M_4xSatSR_00145.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00145.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00146,3000x3000,750x750,4,SR05M_4xSatSR_00146.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00146.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00147,3000x3000,750x750,4,SR05M_4xSatSR_00147.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00147.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00148,3000x3000,750x750,4,SR05M_4xSatSR_00148.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00148.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00149,3000x3000,750x750,4,SR05M_4xSatSR_00149.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00149.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00150,3000x3000,750x750,4,SR05M_4xSatSR_00150.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00150.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00151,3000x3000,750x750,4,SR05M_4xSatSR_00151.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00151.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00152,3000x3000,750x750,4,SR05M_4xSatSR_00152.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00152.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00153,3000x3000,750x750,4,SR05M_4xSatSR_00153.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00153.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00154,3000x3000,750x750,4,SR05M_4xSatSR_00154.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00154.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00155,3000x3000,750x750,4,SR05M_4xSatSR_00155.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00155.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00156,3000x3000,750x750,4,SR05M_4xSatSR_00156.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00156.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00157,3000x3000,750x750,4,SR05M_4xSatSR_00157.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00157.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00158,3000x3000,750x750,4,SR05M_4xSatSR_00158.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00158.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00159,3000x3000,750x750,4,SR05M_4xSatSR_00159.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00159.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00160,3000x3000,750x750,4,SR05M_4xSatSR_00160.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00160.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00161,3000x3000,750x750,4,SR05M_4xSatSR_00161.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00161.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00162,3000x3000,750x750,4,SR05M_4xSatSR_00162.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00162.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00163,3000x3000,750x750,4,SR05M_4xSatSR_00163.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00163.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00164,3000x3000,750x750,4,SR05M_4xSatSR_00164.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00164.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00165,3000x3000,750x750,4,SR05M_4xSatSR_00165.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00165.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00166,3000x3000,750x750,4,SR05M_4xSatSR_00166.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00166.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00167,3000x3000,750x750,4,SR05M_4xSatSR_00167.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00167.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00169,3000x3000,750x750,4,SR05M_4xSatSR_00169.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00169.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00170,3000x3000,750x750,4,SR05M_4xSatSR_00170.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00170.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00171,3000x3000,750x750,4,SR05M_4xSatSR_00171.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00171.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00172,3000x3000,750x750,4,SR05M_4xSatSR_00172.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00172.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00173,3000x3000,750x750,4,SR05M_4xSatSR_00173.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00173.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00174,3000x3000,750x750,4,SR05M_4xSatSR_00174.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00174.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00175,3000x3000,750x750,4,SR05M_4xSatSR_00175.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00175.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00176,3000x3000,750x750,4,SR05M_4xSatSR_00176.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00176.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00177,3000x3000,750x750,4,SR05M_4xSatSR_00177.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00177.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00178,3000x3000,750x750,4,SR05M_4xSatSR_00178.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00178.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00180,3000x3000,750x750,4,SR05M_4xSatSR_00180.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00180.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00181,3000x3000,750x750,4,SR05M_4xSatSR_00181.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00181.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00182,3000x3000,750x750,4,SR05M_4xSatSR_00182.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00182.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00183,3000x3000,750x750,4,SR05M_4xSatSR_00183.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00183.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00184,3000x3000,750x750,4,SR05M_4xSatSR_00184.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00184.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00188,3000x3000,750x750,4,SR05M_4xSatSR_00188.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00188.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00189,3000x3000,750x750,4,SR05M_4xSatSR_00189.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00189.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00190,3000x3000,750x750,4,SR05M_4xSatSR_00190.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00190.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00191,3000x3000,750x750,4,SR05M_4xSatSR_00191.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00191.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00192,3000x3000,750x750,4,SR05M_4xSatSR_00192.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00192.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00196,3000x3000,750x750,4,SR05M_4xSatSR_00196.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00196.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00197,3000x3000,750x750,4,SR05M_4xSatSR_00197.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00197.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00198,3000x3000,750x750,4,SR05M_4xSatSR_00198.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00198.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00199,3000x3000,750x750,4,SR05M_4xSatSR_00199.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00199.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00203,3000x3000,750x750,4,SR05M_4xSatSR_00203.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00203.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00204,3000x3000,750x750,4,SR05M_4xSatSR_00204.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00204.png,3000x3000,4.0,N/A,N/A,
